sampleID	RpsJ	PsbJ	ComplexI_49KD	RpsG	DUF3172	AtpD	AtpA	PetB	LepA	CbbP
S0583	993.7106918238933	1184.6153846153793	1343.4599156117908	1117.5213675213834	1571.6586151368915	1042.5240054869957	1386.1386138613686	1533.6391437309046	1029.3466223698597	742.4749163879495
S0584	9.433962264150942	0	7.594936708860761	6.410256410256411	4.830917874396135	6.858710562414265	7.260726072607261	10.703363914373089	6.644518272425251	5.574136008918618
S0585	279.8742138364779	194.87179487179495	269.19831223628773	224.35897435897434	267.3107890499193	185.18518518518593	262.04620462046165	330.27522935779746	229.7895902547046	241.9175027870684
S0586	157.2327044025158	148.7179487179487	172.9957805907175	138.88888888888889	196.4573268921095	157.75034293552838	201.32013201320083	232.41590214067324	183.27796234772887	188.40579710144956
S0587	0	0	2.531645569620253	0	0	2.05761316872428	1.3201320132013201	0	3.8759689922480627	0
S0588	25.15723270440251	20.51282051282051	16.87763713080169	23.504273504273502	12.882447665056361	32.921810699588505	21.782178217821766	24.464831804281346	13.289036544850502	20.066889632107024
S0589	679.2452830188645	1507.6923076922994	1473.417721518961	1113.247863247879	1824.476650563636	1275.0342935528531	1741.254125412477	1657.4923547400815	1583.6101882614341	1318.8405797101364
S0590	0	0	1.6877637130801686	0	3.2206119162640903	1.3717421124828533	1.3201320132013201	3.058103975535168	1.6611295681063123	1.1148272017837235
S0591	78.61635220125788	82.05128205128202	79.3248945147679	130.34188034188034	69.24315619967794	104.25240054869666	106.27062706270603	116.20795107033659	89.14728682170559	86.95652173913052
S0592	773.5849056603731	1143.5897435897386	1245.5696202531433	1053.4188034188176	1473.4299516908316	1043.8957475994787	1320.792079207912	1448.012232415918	1064.7840531561342	997.7703455964097
S0593	330.1886792452825	343.58974358974393	267.5105485232076	275.64102564102564	359.0982286634443	311.38545953360835	400.66006600660586	359.3272171253811	431.8936877076348	338.9074693422525
S0594	138.3647798742139	102.56410256410251	162.02531645569627	151.7094017094017	180.35426731078906	122.0850480109737	155.7755775577554	215.59633027522977	116.27906976744212	152.73132664437034
S0595	367.92452830188597	292.30769230769255	463.29113924050273	329.05982905982904	429.951690821253	298.35390946502156	403.9603960396093	504.5871559632992	306.7552602436287	280.9364548494988
S0596	69.18238993710693	30.769230769230766	48.10126582278483	55.55555555555555	46.69887278582931	41.1522633744856	50.16501650165007	59.63302752293585	31.561461794019895	57.97101449275366
S0597	342.76729559748367	205.12820512820522	275.94936708860826	292.7350427350427	365.53945249597234	262.6886145404682	353.7953795379571	409.78593272171054	277.9623477297866	254.18060200668938
S0598	610.0628930817581	953.8461538461505	1139.240506329095	976.4957264957387	1623.1884057971197	1010.9739368998883	1444.8844884488196	1441.8960244648476	1240.3100775194	1010.03344481603
S0599	9.433962264150942	20.51282051282051	19.40928270042194	21.367521367521366	28.985507246376812	19.890260631001375	27.72277227722769	18.34862385321101	23.809523809523792	17.83723522853958
S0600	490.5660377358472	420.512820512821	454.8523206751021	401.7094017094017	458.9371980676293	420.4389574759926	528.712871287139	590.2140672782855	447.9512735326621	423.63433667781567
S0601	867.9245283018818	923.07692307692	1115.6118143459732	895.2991452991554	1362.3188405797146	1056.9272976680666	1223.102310231027	1408.25688073396	1309.5238095238424	973.244147157169
S0602	22.012578616352197	5.128205128205128	5.063291139240507	12.82051282051282	9.66183574879227	13.031550068587102	16.5016501650165	15.290519877675841	13.84274640088594	8.91861761426979
S0603	845.9119496855297	769.2307692307676	991.5611814345835	848.2905982906071	1032.2061191626278	798.3539094650334	1070.6270627062947	1172.7828746177472	813.9534883720783	774.8049052396759
S0604	836.4779874213789	805.1282051282031	1132.4894514767745	914.5299145299251	1217.3913043478228	893.6899862825974	1137.9537953795532	1262.9969418960366	1008.3056478405125	806.0200668896186
S0605	273.58490566037733	230.76923076923092	251.4767932489462	217.94871794871793	322.0611916264079	246.91358024691542	288.4488448844891	290.5198776758409	317.8294573643372	303.2329988851733
S0606	103.77358490566041	102.56410256410251	95.35864978902941	134.6153846153846	152.9790660225443	94.65020576131671	89.10891089108891	160.55045871559662	88.59357696567015	100.33444816053523
S0607	386.7924528301877	774.3589743589727	645.5696202531568	630.3418803418834	798.7117552334848	605.6241426611812	758.415841584178	759.9388379204909	846.0686600221329	652.1739130434723
S0608	31.446540880503136	35.8974358974359	36.28691983122362	25.64102564102564	59.58132045088567	34.97942386831278	51.48514851485139	36.69724770642203	60.35437430786274	54.62653288740248
